name,country,team_id,roster_status,source_url,source_checked,display_name,official_fantasy_player_id,fifa_player_id,club,club_country,shirt_number,position,official_position,official_fantasy_position,official_price,fantasy_status,date_of_birth,federation_source_url,squad_announcement_date,team_squad_complete,source_notes
Rayan Aït-Nouri,Algeria,1,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Rayan Aït-Nouri,1,,,,,DEF,,DEF,4.9,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Ramy Bensebaini,Algeria,1,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Ramy Bensebaini,2,,,,,DEF,,DEF,4.4,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Aïssa Mandi,Algeria,1,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Aïssa Mandi,3,,,,,DEF,,DEF,3.9,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Mehdi Dorval,Algeria,1,review,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Mehdi Dorval,4,,,,,DEF,,DEF,3.7,transferred,,,,false,Official FIFA fantasy players.json status is transferred; kept in review because this does not prove final squad inclusion or exclusion.
Zinéddine Belaïd,Algeria,1,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Zinéddine Belaïd,5,,,,,DEF,,DEF,3.7,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Sohaib Nair,Algeria,1,review,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Sohaib Nair,6,,,,,DEF,,DEF,3.5,transferred,,,,false,Official FIFA fantasy players.json status is transferred; kept in review because this does not prove final squad inclusion or exclusion.
Rafik Belghali,Algeria,1,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Rafik Belghali,7,,,,,DEF,,DEF,3.5,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Achref Abada,Algeria,1,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Achref Abada,8,,,,,DEF,,DEF,3.5,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Mohammed Amoura,Algeria,1,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Mohammed Amoura,9,,,,,FWD,,FWD,6.2,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Amine Gouiri,Algeria,1,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Amine Gouiri,10,,,,,FWD,,FWD,6.2,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
