official_fantasy_player_id,internal_player_id,name,country,source_type,source_url,source_checked,evidence_window,recent_nt_starts,recent_nt_minutes,qualifier_starts,qualifier_minutes,last_nt_start_date,role_evidence,usage_confidence,notes,senior_caps,source_gap_type,target_priority
1600,germany-jamal-musiala,Jamal Musiala,Germany,manual_source_backed,https://www.uefa.com/newsfiles/UNL/2025/2043059_LU.pdf|https://www.uefa.com/newsfiles/UNL/2025/2043063_LU.pdf,2026-06-02,UEFA Nations League quarter-finals: Italy v Germany 2025-03-20 and Germany v Italy 2025-03-23,2,,,,2025-03-23,rotation_starter,medium,UEFA tactical line-ups list Jamal Musiala in Germany's starting XI for both March 2025 Nations League quarter-final legs. Minutes are not imported from these line-up PDFs.,,model_too_conservative,P0
528,germany-kai-havertz,Kai Havertz,Germany,manual_source_backed,https://es.uefa.com/uefanationsleague/teams/players/250087938--kai-havertz/|https://ru.uefa.com/uefanationsleague/teams/players/250087938--kai-havertz/statistics/,2026-06-02,UEFA Nations League 2025 player statistics,,300,,,,likely_starter,medium,Official UEFA Nations League player page lists Kai Havertz with 4 matches and 300 minutes. Starts are not exposed by the checked page.,,model_too_conservative,P0
1712,england-ivan-toney,Ivan Toney,England,manual_source_backed,https://editorial.uefa.com/resources/028f-1b6f7f14a391-e1beafb781cc-1000/euro2024_mini-tech-report_v7.pdf,2026-06-02,UEFA EURO 2024 technical report player statistics,,43,,,2024-07-14,impact_sub,low,Official UEFA EURO 2024 technical report lists Ivan Toney with 3 appearances and 43 minutes. This is imported as low-confidence recent tournament usage because it is not 2026 qualifying usage and starts are not exposed.,,model_too_conservative,P0
1369,brazil-neymar-junior,Neymar da Silva Santos Júnior,Brazil,missing_source_gap,https://www1.folha.uol.com.br/internacional/en/sports/2025/03/after-506-days-neymar-returns-to-the-national-team-with-the-mission-of-easing-the-crisis-on-the-field.shtml|https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/neymar-brazil-return,2026-06-02,Neymar injury-return and Brazil squad-context articles checked; no recent source-backed starts or minutes imported.,,,,,,,missing,"Checked source-backed injury/return context, including reporting that Neymar's previous Brazil appearance before the 2025 return call-up was 2023-10-17. No source-backed recent starts, minutes, or usable role label was found for this staging pass.",,position_or_role_conflict,P0
226,canada-jonathan-david,Jonathan David,Canada,official_federation,https://canadasoccer.com/national-team-match-past/?matchId=6040,2026-06-02,"Canada v USA, Concacaf Nations League third-place match, 2025-03-23",1,,,,2025-03-23,regular_national_team_player,medium,Canada Soccer match page lists Jonathan David in the starting XI and shows his 59th-minute goal. Minutes are not inferred beyond the sourced start.,,model_too_conservative,P0
748,mexico-raul-jimenez,Raúl Jiménez,Mexico,manual_source_backed,https://www.concacaf.com/nations-league/news/jimenez-waterman-david-headline-cnl-finals-best-xi/,2026-06-02,2025 Concacaf Nations League Finals,,,,,2025-03-23,likely_starter,medium,"Concacaf reports Raúl Jiménez scored four goals from consecutive braces in the semifinal and final, and names him Best Player. This is imported as role evidence only because the checked source is not a lineup sheet.",,model_too_conservative,P0
1274,usa-christian-pulisic,Christian Pulisic,USA,official_federation,https://www.ussoccer.com/stories/2025/03/us-mens-national-team-vs-panama-score-stats-goals-highlights-match-recap-concacaf-nations-league|https://www.ussoccer.com/stories/2025/03/us-mens-national-team-vs-canada-usa-lineup-today-starting-11-lineup-notes,2026-06-02,2025 Concacaf Nations League: USA v Panama 2025-03-20 and USA v Canada 2025-03-23,2,,,,2025-03-23,established_national_team_player,medium,"U.S. Soccer match report and lineup notes list Christian Pulisic in the starting XI for both March 2025 CNL matches, including captain status versus Canada. Minutes are not inferred.",,model_too_conservative,P0
1485,mexico-santiago-gimenez,Santiago Giménez,Mexico,existing_repo_data,https://worldcupstats.football/teams/mexico/squad/|https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-31,Existing repo national-team profile senior caps/role signal,,,,,,regular_national_team_player,low,Existing national profile carries senior_caps=46 and country_role_signal=regular_national_team_player; no starts or minutes are added.,46,club_context_available_usage_missing,P1
531,germany-deniz-undav,Deniz Undav,Germany,manual_source_backed,https://fr.uefa.com/uefanationsleague/teams/players/250194673--deniz-undav/,2026-06-02,UEFA Nations League 2025 player statistics,,175,,,,rotation_starter,medium,"Official UEFA Nations League player page lists Deniz Undav with 3 matches, 175 minutes, 3 goals, and 1 assist. Starts are not exposed by the checked page.",,club_context_available_usage_missing,P1
1327,thin-2-emiliano-buendia,Emiliano Buendía,Argentina,missing_source_gap,data/highRiskMinutesUsageRepairList_v1.csv,2026-06-02,"Targeted audit found no source-backed starts, minutes, or role evidence in loaded repo sources.",,,,,,,missing,No source-backed national-team usage evidence added for this targeted row.,,thin_profile,P1
