fifa_code,pele,gf,ga,w_pct,l_pct,d_pct
ARG,2079.2,4.51,0.34,86.8,3.6,9.5
ESP,2062.5,4.52,0.38,86.4,4.1,9.5
ENG,2043.8,4.22,0.38,84.5,4.8,10.8
FRA,2032.3,4.22,0.41,84.1,5.1,10.8
BRA,1994.8,3.93,0.47,81.4,6.6,12
GER,1987.3,4.31,0.56,82.7,6.8,10.5
POR,1958,3.62,0.53,78,8.4,13.6
COL,1956.1,3.41,0.49,76.8,8.5,14.7
NOR,1949.1,3.74,0.59,78.2,8.9,13
NED,1943.2,3.65,0.59,77.5,9.2,13.4
ITA,1908.3,2.97,0.54,71.5,11.2,17.3
URU,1908.2,3.11,0.58,72.4,11.2,16.3
ECU,1904.3,3.02,0.57,71.7,11.5,16.9
BEL,1896,3.32,0.69,72.9,12.1,15
JPN,1879.7,3.12,0.7,70.8,13.2,16
SEN,1874.5,2.79,0.62,68.3,13.4,18.3
TUR,1872.6,3.19,0.75,70.7,13.8,15.6
SUI,1868.6,3.05,0.72,69.6,14,16.4
DEN,1868,3.07,0.73,69.7,14.1,16.2
MAR,1867.1,2.64,0.6,66.8,13.8,19.4
MEX,1865.4,2.84,0.67,68.1,14.1,17.8
CRO,1863,2.99,0.73,68.9,14.4,16.7
AUT,1845.9,2.99,0.81,67.7,15.8,16.5
PAR,1833.1,2.63,0.74,64.6,16.6,18.9
USA,1832,2.86,0.82,65.9,16.9,17.2
RUS,1819.1,2.74,0.84,64.2,18,17.9
SCO,1818.9,2.64,0.81,63.5,17.9,18.6
NGA,1817.3,2.49,0.75,62.4,17.7,19.8
SWE,1813.2,2.78,0.89,64,18.5,17.5
CIV,1805.3,2.55,0.84,62,19,19
CAN,1802.5,2.52,0.84,61.6,19.2,19.2
AUS,1800.9,2.47,0.82,61.1,19.3,19.6
ALG,1797.2,2.59,0.89,61.6,19.8,18.6
GRE,1795.9,2.47,0.85,60.7,19.8,19.6
UKR,1792.1,2.43,0.85,60.2,20.1,19.7
CHI,1782.9,2.46,0.91,59.7,21,19.3
POL,1779.6,2.55,0.97,59.9,21.6,18.5
KOR,1778.6,2.34,0.87,58.5,21.2,20.3
EGY,1774.7,2.34,0.89,58.2,21.6,20.2
HUN,1774.6,2.59,1.02,59.7,22.2,18.1
VEN,1772.9,2.47,0.97,58.9,22.1,19
SRB,1765.5,2.43,0.99,58,22.8,19.1
CZE,1763.5,2.4,0.99,57.6,23,19.4
IRL,1759.1,2.11,0.86,55.3,22.7,22
COD,1749.7,2.22,0.97,55.4,24.1,20.6
PER,1748.8,2.08,0.9,54.4,23.8,21.9
WAL,1747.9,2.2,0.97,55.1,24.2,20.7
KOS,1742.4,2.26,1.04,55,25,20
SVN,1734.3,2.15,1.02,53.7,25.6,20.7
SVK,1729.4,2.17,1.06,53.3,26.2,20.4
IRN,1726,2.07,1.02,52.4,26.3,21.3
ROU,1725.8,2.1,1.04,52.6,26.5,20.9
PAN,1719.6,2.1,1.08,52,27.2,20.8
BIH,1716.4,2.19,1.15,52.3,27.9,19.9
GEO,1713.4,2.16,1.16,51.9,28.1,20
ISR,1704.9,2.27,1.29,51.7,29.5,18.8
UZB,1703.3,2.01,1.12,50.1,28.9,21.1
CMR,1700.7,1.89,1.06,49,28.7,22.2
MLI,1698,1.88,1.07,48.7,29,22.3
ALB,1695.7,1.84,1.06,48.3,29.1,22.6
GHA,1694.7,1.93,1.13,48.8,29.6,21.5
NIR,1689.5,1.76,1.04,47.2,29.5,23.3
ISL,1675.3,2.07,1.36,47.8,32.7,19.5
CRC,1673.7,1.9,1.24,46.8,32.2,21.1
TUN,1670.1,1.77,1.17,45.6,32,22.3
RSA,1667.2,1.73,1.16,45.1,32.2,22.7
BFA,1660.5,1.8,1.26,45,33.5,21.5
KSA,1655.9,1.68,1.2,43.8,33.5,22.7
BOL,1650.6,1.88,1.4,44.5,35.2,20.3
CPV,1648.6,1.62,1.19,42.8,34.1,23.2
JOR,1646.7,1.77,1.33,43.5,35.2,21.3
NZL,1644.4,1.75,1.33,43.2,35.4,21.4
IRQ,1643.7,1.66,1.26,42.6,35,22.3
MKD,1643.1,1.83,1.41,43.5,36,20.5
HON,1637.3,1.72,1.36,42.4,36.2,21.4
FIN,1630.4,1.73,1.42,41.8,37.2,21
HAI,1623.9,1.78,1.52,41.5,38.4,20.1
GUI,1620.4,1.69,1.46,40.7,38.4,20.9
ANG,1611.4,1.48,1.33,38.7,38.3,23
BLR,1606.2,1.58,1.47,38.9,39.8,21.4
UAE,1604.9,1.58,1.48,38.7,39.9,21.4
GUA,1601.8,1.52,1.44,38.1,39.9,22
JAM,1600.7,1.47,1.4,37.7,39.8,22.5
BUL,1587.1,1.52,1.56,36.8,42.1,21.2
GAM,1586.3,1.56,1.61,36.9,42.5,20.6
LUX,1583.1,1.54,1.61,36.5,42.8,20.7
SUR,1577.5,1.61,1.74,36.4,44.1,19.6
MNE,1572,1.53,1.7,35.5,44.3,20.2
QAT,1569.8,1.52,1.71,35.2,44.7,20.1
KAZ,1567.1,1.5,1.71,34.9,44.9,20.2
CUW,1558.2,1.43,1.71,33.8,45.7,20.5
GAB,1556.8,1.35,1.62,33.3,45.2,21.6
BEN,1552.3,1.44,1.77,33.3,46.6,20.1
PLE,1548.2,1.39,1.75,32.7,46.8,20.4
NIG,1545.6,1.35,1.72,32.3,46.8,20.9
LBY,1541.7,1.25,1.63,31.5,46.5,22
SYR,1541.1,1.34,1.75,31.9,47.5,20.6
OMA,1541,1.27,1.65,31.5,46.8,21.8
CHN,1539.7,1.31,1.71,31.6,47.3,21.1
TOG,1532.5,1.25,1.7,30.7,47.8,21.4
UGA,1532.3,1.17,1.6,30.3,47,22.7
ZAM,1532.3,1.26,1.72,30.7,48,21.3
SLE,1530.7,1.18,1.63,30.2,47.4,22.4
DOM,1530.5,1.37,1.89,31.1,49.3,19.6
ARM,1529.4,1.4,1.95,31.1,49.8,19.1
COM,1528.6,1.22,1.69,30.2,48,21.7
TRI,1527.5,1.43,2,31,50.3,18.7
ZIM,1520.7,1.23,1.79,29.6,49.5,20.9
EST,1517.7,1.2,1.76,29.2,49.5,21.2
KEN,1517.1,1.18,1.75,29.1,49.5,21.4
MAD,1515.3,1.28,1.91,29.4,50.7,19.8
TAN,1512.6,1.13,1.71,28.5,49.5,22
NCA,1512.5,1.3,1.97,29.3,51.4,19.3
EQG,1512.3,1.15,1.75,28.6,49.8,21.6
FRO,1512.2,1.15,1.75,28.6,49.8,21.6
CYP,1511.7,1.33,2.02,29.3,51.8,19
MOZ,1509.7,1.27,1.94,28.9,51.5,19.7
SLV,1509,1.2,1.85,28.5,50.9,20.6
IDN,1505.1,1.29,2.03,28.6,52.4,19
AZE,1500.3,1.12,1.81,27.5,51.3,21.2
SDN,1494.9,1.08,1.79,26.8,51.6,21.6
LVA,1493.8,1.14,1.9,27,52.5,20.5
MTN,1492.3,1.12,1.88,26.8,52.4,20.8
LTU,1490.8,1.12,1.91,26.7,52.8,20.5
BHR,1481.4,1.11,1.97,25.9,54,20.1
THA,1480.5,1.21,2.16,26.2,55.4,18.4
RWA,1479.5,1.02,1.84,25.4,53.1,21.5
BDI,1470.8,1.01,1.9,24.7,54.2,21
LBR,1470.2,1.05,1.97,24.8,54.8,20.3
GNB,1467.9,1.12,2.14,25,56.2,18.9
MLT,1465.2,1.1,2.12,24.6,56.3,19.1
ETH,1459.9,1.07,2.13,24.1,56.8,19.1
GUY,1454.2,1.25,2.52,24.2,59.6,16.2
VIE,1452.6,1.1,2.26,23.7,58.2,18.1
LBN,1445.4,1.02,2.18,22.9,58.2,18.9
TJK,1445.2,1.04,2.22,22.9,58.5,18.6
CUB,1442.4,1.04,2.26,22.7,59,18.3
KGZ,1439.1,1.03,2.27,22.4,59.3,18.3
PRK,1439,0.97,2.16,22.2,58.5,19.2
MDA,1438,1.01,2.24,22.3,59.2,18.5
NAM,1434.4,0.96,2.19,21.9,59.1,19
PUR,1433.8,1.09,2.46,22.2,60.8,16.9
CGO,1430.5,1.01,2.34,21.8,60.4,17.8
CTA,1425.5,1.09,2.56,21.6,62.1,16.3
KUW,1423.6,0.99,2.37,21.2,61.1,17.8
BOT,1419.8,0.85,2.11,20.5,59.5,20
MAS,1403.2,0.97,2.58,19.7,63.9,16.5
MWI,1392.8,0.78,2.24,18.4,62.3,19.3
TKM,1356.8,0.84,2.83,16.4,68.4,15.2
PHI,1352.6,0.86,2.95,16.1,69.3,14.6
YEM,1349.6,0.77,2.71,15.8,68.1,16.1
LES,1336.4,0.7,2.67,14.9,68.6,16.5
VIN,1323.4,0.86,3.37,14.4,73.1,12.5
CHA,1313.2,0.75,3.15,13.7,72.6,13.7
IND,1313.1,0.67,2.87,13.5,71.1,15.4
AND,1310.4,0.56,2.53,13.1,68.8,18.1
NCL,1304.3,0.74,3.22,13.2,73.4,13.3
SWZ,1303.3,0.67,2.99,13,72.3,14.7
SOM,1300.9,0.69,3.11,13,73,14
GRN,1299.2,0.77,3.44,13,74.8,12.3
HKG,1296.7,0.66,3.05,12.7,73,14.4
SSD,1295.8,0.66,3.05,12.7,73,14.4
SGP,1291.5,0.7,3.3,12.4,74.6,13
BER,1291,0.76,3.5,12.5,75.5,12
ERI,1290.3,0.65,3.11,12.4,73.5,14.1
MRI,1278.4,0.62,3.15,11.7,74.4,13.9
ARU,1247.9,0.65,3.77,10.4,78.6,11
STP,1225.8,0.56,3.68,9.3,79.2,11.5
BLZ,1225.5,0.54,3.61,9.3,78.9,11.8
SKN,1220.5,0.59,3.92,9.1,80.5,10.4
LCA,1207.4,0.55,3.96,8.6,81.1,10.3
FIJ,1206.1,0.53,3.89,8.5,80.9,10.6
BRB,1189.4,0.51,4.07,7.9,82.2,9.9
GIB,1180,0.43,3.74,7.5,81.1,11.4
TAH,1179.3,0.52,4.29,7.5,83.3,9.2
MSR,1178.4,0.48,4.06,7.5,82.5,10
ATG,1176.5,0.51,4.26,7.4,83.3,9.3
