internal_player_id,official_fantasy_player_id,name,country,official_fantasy_position,official_price,qualifier_matches_available,qualifier_minutes,qualifier_starts,qualifier_goals,qualifier_assists,qualifier_clean_sheets,qualifier_cards,recent_nt_minutes,recent_nt_starts,recent_nt_role,last_nt_start_date,set_piece_role,penalty_role,corner_role,free_kick_role,usage_source,usage_source_url,usage_source_checked,usage_confidence,data_quality_flags,notes
algeria-rayan-ait-nouri,1,Rayan Aït-Nouri,Algeria,DEF,4.9,5,450,5,0,0,1,1,450,5,locked_starter,2025-03-25T21:00:00Z,,,,,oneFootballQualifierStats,data/oneFootballQualifierRosterSeasonStats.json,2026-05-31,high,estimated_qualifier_minutes,Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks.
algeria-ramy-bensebaini,2,Ramy Bensebaini,Algeria,DEF,4.4,6,540,6,0,0,2,3,540,6,locked_starter,2025-10-14T16:00:00Z,,,,,oneFootballQualifierStats,data/oneFootballQualifierRosterSeasonStats.json,2026-05-31,high,estimated_qualifier_minutes,Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks.
algeria-aissa-mandi,3,Aïssa Mandi,Algeria,DEF,3.9,10,824,10,1,0,3,1,824,10,locked_starter,2025-10-14T16:00:00Z,,,,,oneFootballQualifierStats,data/oneFootballQualifierRosterSeasonStats.json,2026-05-31,high,estimated_qualifier_minutes,Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks.
thin-1-mehdi-dorval,4,Mehdi Dorval,Algeria,DEF,3.7,,,,,,,,,,unclear,,,,,,,,2026-05-31,thin_profile_missing,thin_profile|thin_profile_missing|missing_usage|source_gap|missing_role_confidence,Thin profile; no source-backed national-team usage found in current internal data. No qualifier or national-team usage row found in inspected sources.
algeria-zineddine-belaid,5,Zinéddine Belaïd,Algeria,DEF,3.7,1,5,0,0,0,0,0,5,0,unclear,,,,,,oneFootballQualifierStats,data/oneFootballQualifierRosterSeasonStats.json,2026-05-31,low,low_role_confidence|estimated_qualifier_minutes,Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks.
thin-1-sohaib-nair,6,Sohaib Nair,Algeria,DEF,3.5,,,,,,,,,,unclear,,,,,,,,2026-05-31,thin_profile_missing,thin_profile|thin_profile_missing|missing_usage|source_gap|missing_role_confidence,Thin profile; no source-backed national-team usage found in current internal data. No qualifier or national-team usage row found in inspected sources.
algeria-rafik-belghali,7,Rafik Belghali,Algeria,DEF,3.5,2,157,2,0,0,1,0,157,2,likely_starter,2025-10-14T16:00:00Z,,,,,oneFootballQualifierStats,data/oneFootballQualifierRosterSeasonStats.json,2026-05-31,high,estimated_qualifier_minutes,Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks.
algeria-achref-abada,8,Achref Abada,Algeria,DEF,3.5,,,,,,,,,,unclear,,,,,,,,2026-05-31,missing,missing_usage|source_gap|missing_role_confidence,No qualifier or national-team usage row found in inspected sources.
algeria-mohamed-amine-amoura,9,Mohammed Amoura,Algeria,FWD,6.2,,,,,,,,,,squad_depth,,,,,,,,2026-05-31,missing,missing_usage|source_gap|missing_role_confidence,No qualifier or national-team usage row found in inspected sources.
algeria-amine-gouiri,10,Amine Gouiri,Algeria,FWD,6.2,9,527,7,1,1,3,1,527,7,likely_starter,2025-10-14T16:00:00Z,,,,,oneFootballQualifierStats,data/oneFootballQualifierRosterSeasonStats.json,2026-05-31,high,estimated_qualifier_minutes,Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks.
algeria-riyad-mahrez,11,Riyad Mahrez,Algeria,MID,6.5,8,527,8,1,4,3,0,527,8,locked_starter,2025-10-14T16:00:00Z,,,,,oneFootballQualifierStats,data/oneFootballQualifierRosterSeasonStats.json,2026-05-31,high,position_conflict|estimated_qualifier_minutes,Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks. Official fantasy position differs from existing model position and is preserved as active future fantasy position.
algeria-ibrahim-maza,12,Ibrahim Maza,Algeria,FWD,5.4,3,119,1,0,0,1,0,119,1,rotation_starter,2025-10-14T16:00:00Z,,,,,oneFootballQualifierStats,data/oneFootballQualifierRosterSeasonStats.json,2026-05-31,high,position_conflict|estimated_qualifier_minutes,Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks. Official fantasy position differs from existing model position and is preserved as active future fantasy position.
algeria-anis-hadj-moussa,13,Anis Hadj Moussa,Algeria,FWD,5.3,3,71,0,0,0,2,1,71,0,rotation_starter,,,,,,oneFootballQualifierStats,data/oneFootballQualifierRosterSeasonStats.json,2026-05-31,high,estimated_qualifier_minutes,Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks.
algeria-fares-ghedjemis,14,Farès Ghedjemis,Algeria,FWD,4.4,,,,,,,,,,unclear,,,,,,,,2026-05-31,missing,missing_usage|source_gap|missing_role_confidence,No qualifier or national-team usage row found in inspected sources.
thin-1-ahmed-benbouali,15,Ahmed Benbouali,Algeria,FWD,4.2,,,,,,,,,,unclear,,,,,,,,2026-05-31,thin_profile_missing,thin_profile|thin_profile_missing|missing_usage|source_gap|missing_role_confidence,Thin profile; no source-backed national-team usage found in current internal data. No qualifier or national-team usage row found in inspected sources.
thin-1-amin-chiakha,16,Amin Chiakha,Algeria,FWD,4,,,,,,,,,,unclear,,,,,,,,2026-05-31,thin_profile_missing,thin_profile|thin_profile_missing|missing_usage|source_gap|missing_role_confidence,Thin profile; no source-backed national-team usage found in current internal data. No qualifier or national-team usage row found in inspected sources.
thin-1-anthony-mandrea,17,Anthony Mandréa,Algeria,GK,3.9,,,,,,,,,,unclear,,,,,,,,2026-05-31,thin_profile_missing,thin_profile|thin_profile_missing|missing_usage|source_gap|missing_role_confidence|goalkeeper_without_role_confidence,Thin profile; no source-backed national-team usage found in current internal data. No qualifier or national-team usage row found in inspected sources.
algeria-luca-zidane,18,Luca Zidane,Algeria,GK,3.8,1,90,1,0,0,0,0,90,1,rotation_starter,2025-10-14T16:00:00Z,,,,,oneFootballQualifierStats,data/oneFootballQualifierRosterSeasonStats.json,2026-05-31,low,low_role_confidence|estimated_qualifier_minutes,Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks.
algeria-melvin-mastil,19,Melvin Mastil,Algeria,GK,3.5,,,,,,,,,,unclear,,,,,,,,2026-05-31,missing,missing_usage|source_gap|missing_role_confidence|goalkeeper_without_role_confidence,No qualifier or national-team usage row found in inspected sources.
thin-1-kilian-belazzoug,20,Kilian Belazzoug,Algeria,GK,3.5,,,,,,,,,,unclear,,,,,,,,2026-05-31,thin_profile_missing,thin_profile|thin_profile_missing|missing_usage|source_gap|missing_role_confidence|goalkeeper_without_role_confidence,Thin profile; no source-backed national-team usage found in current internal data. No qualifier or national-team usage row found in inspected sources.
algeria-adil-boulbina,21,Adil Boulbina,Algeria,MID,4,,,,,,,,,,squad_depth,,,,,,,,2026-05-31,missing,position_conflict|missing_usage|source_gap|missing_role_confidence,No qualifier or national-team usage row found in inspected sources. Official fantasy position differs from existing model position and is preserved as active future fantasy position.
algeria-yacine-titraoui,22,Yacine Titraoui,Algeria,MID,4.7,,,,,,,,,,squad_depth,,,,,,,,2026-05-31,missing,missing_usage|source_gap|missing_role_confidence,No qualifier or national-team usage row found in inspected sources.
algeria-ramiz-zerrouki,23,Ramiz Zerrouki,Algeria,MID,5.3,5,296,3,1,0,2,0,296,3,likely_starter,2025-09-08T16:00:00Z,,,,,oneFootballQualifierStats,data/oneFootballQualifierRosterSeasonStats.json,2026-05-31,high,estimated_qualifier_minutes,Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks.
algeria-hicham-boudaoui,24,Hicham Boudaoui,Algeria,MID,5.5,8,584,6,0,1,3,0,584,6,likely_starter,2025-10-14T16:00:00Z,,,,,oneFootballQualifierStats,data/oneFootballQualifierRosterSeasonStats.json,2026-05-31,high,estimated_qualifier_minutes,Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks.
thin-1-adil-aouchiche,25,Adil Aouchiche,Algeria,MID,5.6,,,,,,,,,,unclear,,,,,,,,2026-05-31,thin_profile_missing,thin_profile|thin_profile_missing|missing_usage|source_gap|missing_role_confidence,Thin profile; no source-backed national-team usage found in current internal data. No qualifier or national-team usage row found in inspected sources.
algeria-houssem-aouar,26,Houssem Aouar,Algeria,MID,6,4,242,3,1,0,1,1,242,3,likely_starter,2025-09-04T19:00:00Z,,,,,oneFootballQualifierStats,data/oneFootballQualifierRosterSeasonStats.json,2026-05-31,high,estimated_qualifier_minutes,Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks.
algeria-fares-chaibi,27,Farès Chaïbi,Algeria,MID,6.2,8,450,5,1,1,3,0,450,5,likely_starter,2025-10-09T16:00:00Z,,,,,oneFootballQualifierStats,data/oneFootballQualifierRosterSeasonStats.json,2026-05-31,high,estimated_qualifier_minutes,Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks.
argentina-cristian-romero,28,Cristian Romero,Argentina,DEF,4.9,15,1260,15,0,0,10,4,1260,15,locked_starter,2025-09-04T23:30:00Z,,,,,oneFootballQualifierStats,data/oneFootballQualifierRosterSeasonStats.json,2026-05-31,high,estimated_qualifier_minutes,Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks.
thin-2-marcos-senesi,29,Marcos Senesi,Argentina,DEF,4.7,,,,,,,,,,unclear,,,,,,,,2026-05-31,thin_profile_missing,thin_profile|thin_profile_missing|missing_usage|source_gap|missing_role_confidence,Thin profile; no source-backed national-team usage found in current internal data. No qualifier or national-team usage row found in inspected sources.
argentina-nahuel-molina,30,Nahuel Molina,Argentina,DEF,4.4,16,1261,14,0,1,9,1,1261,14,likely_starter,2025-09-04T23:30:00Z,,,,,oneFootballQualifierStats,data/oneFootballQualifierRosterSeasonStats.json,2026-05-31,high,estimated_qualifier_minutes,Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks.
argentina-nicolas-otamendi,31,Nicolás Otamendi,Argentina,DEF,4.4,17,1513,17,3,0,10,3,1513,17,locked_starter,2025-09-09T23:00:00Z,,,,,oneFootballQualifierStats,data/oneFootballQualifierRosterSeasonStats.json,2026-05-31,high,estimated_qualifier_minutes,Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks.
thin-2-marcos-acuna,32,Marcos Acuña,Argentina,DEF,4.3,,,,,,,,,,unclear,,,,,,,,2026-05-31,thin_profile_missing,thin_profile|thin_profile_missing|missing_usage|source_gap|missing_role_confidence,Thin profile; no source-backed national-team usage found in current internal data. No qualifier or national-team usage row found in inspected sources.
thin-2-lucas-martinez-quarta,33,Lucas Martínez Quarta,Argentina,DEF,4.3,,,,,,,,,,unclear,,,,,,,,2026-05-31,thin_profile_missing,thin_profile|thin_profile_missing|missing_usage|source_gap|missing_role_confidence,Thin profile; no source-backed national-team usage found in current internal data. No qualifier or national-team usage row found in inspected sources.
argentina-nicolas-tagliafico,34,Nicolás Tagliafico,Argentina,DEF,4.3,15,1248,14,1,1,10,3,1248,14,locked_starter,2025-09-09T23:00:00Z,,,,,oneFootballQualifierStats,data/oneFootballQualifierRosterSeasonStats.json,2026-05-31,high,estimated_qualifier_minutes,Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks.
thin-2-gabriel-rojas,35,Gabriel Rojas,Argentina,DEF,4,,,,,,,,,,unclear,,,,,,,,2026-05-31,thin_profile_missing,thin_profile|thin_profile_missing|missing_usage|source_gap|missing_role_confidence,Thin profile; no source-backed national-team usage found in current internal data. No qualifier or national-team usage row found in inspected sources.
thin-2-agustin-giay,36,Agustín Giay,Argentina,DEF,3.7,,,,,,,,,,unclear,,,,,,,,2026-05-31,thin_profile_missing,thin_profile|thin_profile_missing|missing_usage|source_gap|missing_role_confidence,Thin profile; no source-backed national-team usage found in current internal data. No qualifier or national-team usage row found in inspected sources.
argentina-lionel-messi,38,Lionel Messi,Argentina,FWD,10,12,945,10,9,3,8,0,945,10,locked_starter,2025-09-04T23:30:00Z,,,,,oneFootballQualifierStats,data/oneFootballQualifierRosterSeasonStats.json,2026-05-31,high,estimated_qualifier_minutes,Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks.
argentina-julian-alvarez,39,Julián Alvarez,Argentina,FWD,8.6,18,1335,16,4,3,11,1,1335,16,locked_starter,2025-09-04T23:30:00Z,,,,,oneFootballQualifierStats,data/oneFootballQualifierRosterSeasonStats.json,2026-05-31,high,estimated_qualifier_minutes,Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks.
thin-2-gianluca-prestianni,40,Gianluca Prestianni,Argentina,MID,5.6,,,,,,,,,,unclear,,,,,,,,2026-05-31,thin_profile_missing,thin_profile|thin_profile_missing|missing_usage|source_gap|missing_role_confidence,Thin profile; no source-backed national-team usage found in current internal data. No qualifier or national-team usage row found in inspected sources.
argentina-giuliano-simeone,41,Giuliano Simeone,Argentina,MID,5.6,7,276,3,1,0,4,0,276,3,rotation_starter,2025-09-09T23:00:00Z,,,,,oneFootballQualifierStats,data/oneFootballQualifierRosterSeasonStats.json,2026-05-31,high,position_conflict|estimated_qualifier_minutes,Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks. Official fantasy position differs from existing model position and is preserved as active future fantasy position.
argentina-nicolas-gonzalez,42,Nico González,Argentina,MID,5.6,12,724,8,2,2,8,1,724,8,rotation_starter,2025-09-09T23:00:00Z,,,,,oneFootballQualifierStats,data/oneFootballQualifierRosterSeasonStats.json,2026-05-31,high,position_conflict|estimated_qualifier_minutes,Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks. Official fantasy position differs from existing model position and is preserved as active future fantasy position.
argentina-jose-manuel-lopez,43,José Manuel López,Argentina,FWD,5.3,,,,,,,,,,squad_depth,,,,,,,,2026-05-31,missing,missing_usage|source_gap|missing_role_confidence,No qualifier or national-team usage row found in inspected sources.
thin-2-franco-mastantuono,44,Franco Mastantuono,Argentina,MID,5.8,,,,,,,,,,unclear,,,,,,,,2026-05-31,thin_profile_missing,thin_profile|thin_profile_missing|missing_usage|source_gap|missing_role_confidence,Thin profile; no source-backed national-team usage found in current internal data. No qualifier or national-team usage row found in inspected sources.
argentina-emiliano-martinez,45,Emiliano Martínez,Argentina,GK,5,16,1440,16,0,0,10,0,1440,16,locked_starter,2025-09-09T23:00:00Z,,,,,oneFootballQualifierStats,data/oneFootballQualifierRosterSeasonStats.json,2026-05-31,high,estimated_qualifier_minutes,Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks.
argentina-geronimo-rulli,46,Gerónimo Rulli,Argentina,GK,4.5,2,180,2,0,0,1,0,180,2,squad_depth,2024-10-16T00:00:00Z,,,,,oneFootballQualifierStats,data/oneFootballQualifierRosterSeasonStats.json,2026-05-31,high,estimated_qualifier_minutes,Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks.
argentina-juan-musso,47,Juan Musso,Argentina,GK,4.3,,,,,,,,,,squad_depth,,,,,,,,2026-05-31,missing,missing_usage|source_gap|missing_role_confidence|goalkeeper_without_role_confidence,No qualifier or national-team usage row found in inspected sources.
argentina-leandro-paredes,48,Leandro Paredes,Argentina,MID,5.6,14,549,6,0,0,8,3,549,6,rotation_starter,2025-09-09T23:00:00Z,,,,,oneFootballQualifierStats,data/oneFootballQualifierRosterSeasonStats.json,2026-05-31,high,estimated_qualifier_minutes,Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks.
thin-2-maximo-perrone,49,Máximo Perrone,Argentina,MID,5.6,,,,,,,,,,unclear,,,,,,,,2026-05-31,thin_profile_missing,thin_profile|thin_profile_missing|missing_usage|source_gap|missing_role_confidence,Thin profile; no source-backed national-team usage found in current internal data. No qualifier or national-team usage row found in inspected sources.
argentina-rodrigo-de-paul,50,Rodrigo De Paul,Argentina,MID,5.9,17,1361,17,0,1,10,1,1361,17,locked_starter,2025-09-09T23:00:00Z,,,,,oneFootballQualifierStats,data/oneFootballQualifierRosterSeasonStats.json,2026-05-31,high,estimated_qualifier_minutes,Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks.
argentina-nicolas-paz,51,Nico Paz,Argentina,MID,5.9,,,,,,,,,,squad_depth,,,,,,,,2026-05-31,missing,position_conflict|missing_usage|source_gap|missing_role_confidence,No qualifier or national-team usage row found in inspected sources. Official fantasy position differs from existing model position and is preserved as active future fantasy position.
