official_fantasy_player_id,internal_player_id,name,country,official_fantasy_position,official_price,priority,current_start_probability,current_expected_minutes,current_role_label,current_role_confidence,missing_fields,reason_for_targeting,recommended_action,source_gap_type,repo_evidence_status,planned_import_source_type,notes
1600,germany-jamal-musiala,Jamal Musiala,Germany,MID,8,P0,0.355,34,club_star_nt_usage_missing,low,final_squad_confirmation|national_team_usage|qualifier_minutes|qualifier_starts,earlier_high_risk_example|high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_uncertainty_fallback_applied|strong_club_context_missing_national_team_usage|high_impact_watchlist_player|high_price_start_probability_below_0.45|flagged_high_price_missing_usage|flagged_club_star_nt_usage_missing|high_price_uncertainty_fallback_player,keep_low_confidence_high_price_club_context_fallback_and_source_nt_usage,model_too_conservative,source_backed_recent_usage_found,manual_source_backed,before_role=unclear; before_start_probability=0.2; before_expected_minutes=22.8; club=Bayern Munich; club_status=source_verified; club_role_confidence=high; club_minutes=666; club_starts=7; no_source_backed_nt_starts_or_minutes_in_current_repo; fallback_changes_uncertainty_bucket_only_no_usage_invented
528,germany-kai-havertz,Kai Havertz,Germany,FWD,7.8,P0,0.3,31.6,unclear_high_price,low,final_squad_confirmation|national_team_usage|qualifier_minutes|qualifier_starts,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|high_price_uncertainty_fallback_applied|strong_club_context_missing_national_team_usage|high_impact_watchlist_player|high_price_start_probability_below_0.45|high_price_uncertainty_fallback_player,keep_low_confidence_high_price_club_context_fallback_and_source_nt_usage,model_too_conservative,source_backed_recent_usage_found,manual_source_backed,before_role=unclear; before_start_probability=0.175; before_expected_minutes=23.5; club=Arsenal; club_status=source_verified; club_role_confidence=high; club_minutes=437; club_starts=6; no_source_backed_nt_starts_or_minutes_in_current_repo; fallback_changes_uncertainty_bucket_only_no_usage_invented
1712,england-ivan-toney,Ivan Toney,England,FWD,7.5,P0,0.33,33.2,unclear_high_price,low,final_squad_confirmation|national_team_usage|qualifier_minutes|qualifier_starts,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|high_price_uncertainty_fallback_applied|strong_club_context_missing_national_team_usage|high_impact_watchlist_player|high_price_start_probability_below_0.45|high_price_uncertainty_fallback_player,keep_low_confidence_high_price_club_context_fallback_and_source_nt_usage,model_too_conservative,source_backed_recent_usage_found,manual_source_backed,before_role=unclear; before_start_probability=0.215; before_expected_minutes=25.6; club=Al-Ahli; club_status=source_verified; club_role_confidence=high; club_minutes=2749; club_starts=31; no_source_backed_nt_starts_or_minutes_in_current_repo; fallback_changes_uncertainty_bucket_only_no_usage_invented
1369,brazil-neymar-junior,Neymar da Silva Santos Júnior,Brazil,MID,7.2,P0,0.16,20.2,unclear,missing,club_context|club_minutes|club_starts|final_squad_confirmation|national_team_usage|qualifier_minutes|qualifier_starts,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|high_impact_watchlist_player|high_price_start_probability_below_0.45,keep_existing_conservative_low_confidence_treatment,position_or_role_conflict,missing_source_gap,missing_source_gap,before_role=unclear; before_start_probability=0.16; before_expected_minutes=20.2; no_source_backed_nt_starts_or_minutes_in_current_repo
226,canada-jonathan-david,Jonathan David,Canada,FWD,7,P0,0.315,32.4,unclear_high_price,low,final_squad_confirmation|national_team_usage|qualifier_minutes|qualifier_starts,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|high_price_uncertainty_fallback_applied|strong_club_context_missing_national_team_usage|host_country_important_player|high_impact_watchlist_player|high_price_start_probability_below_0.45|high_price_uncertainty_fallback_player,keep_low_confidence_high_price_club_context_fallback_and_source_nt_usage,model_too_conservative,source_backed_recent_usage_found,official_federation,before_role=unclear; before_start_probability=0.195; before_expected_minutes=24.5; club=Juventus; club_status=source_verified; club_role_confidence=high; club_minutes=1784; club_starts=2; no_source_backed_nt_starts_or_minutes_in_current_repo; fallback_changes_uncertainty_bucket_only_no_usage_invented
748,mexico-raul-jimenez,Raúl Jiménez,Mexico,FWD,7,P0,0.33,33.2,unclear_high_price,low,final_squad_confirmation|national_team_usage|qualifier_minutes|qualifier_starts,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|high_price_uncertainty_fallback_applied|strong_club_context_missing_national_team_usage|host_country_important_player|high_impact_watchlist_player|high_price_start_probability_below_0.45|high_price_uncertainty_fallback_player,keep_low_confidence_high_price_club_context_fallback_and_source_nt_usage,model_too_conservative,source_backed_role_evidence_only,manual_source_backed,before_role=unclear; before_start_probability=0.215; before_expected_minutes=25.6; club=Fulham; club_status=source_verified; club_role_confidence=high; club_minutes=2070; club_starts=26; no_source_backed_nt_starts_or_minutes_in_current_repo; fallback_changes_uncertainty_bucket_only_no_usage_invented
1274,usa-christian-pulisic,Christian Pulisic,USA,MID,7,P0,0.335,32.8,unclear_high_price,low,final_squad_confirmation|national_team_usage|qualifier_minutes|qualifier_starts,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|high_price_uncertainty_fallback_applied|strong_club_context_missing_national_team_usage|host_country_important_player|high_impact_watchlist_player|high_price_start_probability_below_0.45|high_price_uncertainty_fallback_player,keep_low_confidence_high_price_club_context_fallback_and_source_nt_usage,model_too_conservative,source_backed_recent_usage_found,official_federation,before_role=unclear; before_start_probability=0.215; before_expected_minutes=23.8; club=AC Milan; club_status=source_verified; club_role_confidence=high; club_minutes=1612; club_starts=5; no_source_backed_nt_starts_or_minutes_in_current_repo; fallback_changes_uncertainty_bucket_only_no_usage_invented
1485,mexico-santiago-gimenez,Santiago Giménez,Mexico,FWD,6.8,P1,0.195,24.5,unclear,low,final_squad_confirmation|national_team_usage|qualifier_minutes|qualifier_starts,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|strong_club_context_missing_national_team_usage|host_country_important_player|high_impact_watchlist_player,source_national_team_usage_before_final_minutes_promotion,club_context_available_usage_missing,source_backed_role_evidence_only,existing_repo_data,before_role=unclear; before_start_probability=0.195; before_expected_minutes=24.5; club=Milan; club_status=source_verified; club_role_confidence=high; club_minutes=905; club_starts=4; no_source_backed_nt_starts_or_minutes_in_current_repo
531,germany-deniz-undav,Deniz Undav,Germany,FWD,6.6,P1,0.215,25.6,unclear,low,final_squad_confirmation|national_team_usage|qualifier_minutes|qualifier_starts,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|strong_club_context_missing_national_team_usage|high_impact_watchlist_player,source_national_team_usage_before_final_minutes_promotion,club_context_available_usage_missing,source_backed_recent_usage_found,manual_source_backed,before_role=unclear; before_start_probability=0.215; before_expected_minutes=25.6; club=Stuttgart; club_status=source_verified; club_role_confidence=high; club_minutes=2261; club_starts=25; no_source_backed_nt_starts_or_minutes_in_current_repo
1327,thin-2-emiliano-buendia,Emiliano Buendía,Argentina,MID,6.5,P1,,,blocked,blocked,club_context|club_minutes|club_starts|final_squad_confirmation|national_team_usage|qualifier_minutes|qualifier_starts,earlier_high_risk_example|high_price_low_role_confidence|high_price_missing_national_team_usage,keep_blocked_until_selectable_status_and_squad_review_are_resolved,thin_profile,missing_source_gap,missing_source_gap,before_role=blocked; before_start_probability=; before_expected_minutes=; no_source_backed_nt_starts_or_minutes_in_current_repo; thin_profile_no_historical_context_invented; blocked_reasons=blocked_not_selectable|not_selectable|squad_review_status
