official_fantasy_player_id,internal_player_id,name,country,official_fantasy_position,official_price,current_start_probability,current_expected_minutes,current_role_label,current_role_confidence,priority,reason_for_priority,usage_status_before,recommended_source_type,notes
1600,germany-jamal-musiala,Jamal Musiala,Germany,MID,8,0.355,34,club_star_nt_usage_missing,low,P0,earlier_high_risk_example|high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_uncertainty_fallback_applied|strong_club_context_missing_national_team_usage|high_impact_watchlist_player|high_price_start_probability_below_0.45|flagged_high_price_missing_usage|flagged_club_star_nt_usage_missing|high_price_uncertainty_fallback_player,source_backed_usage_found,manual_source_backed,P0/P1 carry-forward from v1 targeted sourcing list.
528,germany-kai-havertz,Kai Havertz,Germany,FWD,7.8,0.3,31.6,unclear_high_price,low,P0,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|high_price_uncertainty_fallback_applied|strong_club_context_missing_national_team_usage|high_impact_watchlist_player|high_price_start_probability_below_0.45|high_price_uncertainty_fallback_player,source_backed_usage_found,manual_source_backed,P0/P1 carry-forward from v1 targeted sourcing list.
1712,england-ivan-toney,Ivan Toney,England,FWD,7.5,0.33,33.2,unclear_high_price,low,P0,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|high_price_uncertainty_fallback_applied|strong_club_context_missing_national_team_usage|high_impact_watchlist_player|high_price_start_probability_below_0.45|high_price_uncertainty_fallback_player,source_backed_usage_found,manual_source_backed,Named final-pass priority player reviewed in v2.
1369,brazil-neymar-junior,Neymar da Silva Santos Júnior,Brazil,MID,7.2,0.16,20.2,unclear,missing,P0,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|high_impact_watchlist_player|high_price_start_probability_below_0.45,missing_source_gap,official_federation_or_confederation_match_report_needed,Named final-pass priority player reviewed in v2.
226,canada-jonathan-david,Jonathan David,Canada,FWD,7,0.315,32.4,unclear_high_price,low,P0,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|high_price_uncertainty_fallback_applied|strong_club_context_missing_national_team_usage|host_country_important_player|high_impact_watchlist_player|high_price_start_probability_below_0.45|high_price_uncertainty_fallback_player,source_backed_usage_found,official_federation,P0/P1 carry-forward from v1 targeted sourcing list.
748,mexico-raul-jimenez,Raúl Jiménez,Mexico,FWD,7,0.33,33.2,unclear_high_price,low,P0,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|high_price_uncertainty_fallback_applied|strong_club_context_missing_national_team_usage|host_country_important_player|high_impact_watchlist_player|high_price_start_probability_below_0.45|high_price_uncertainty_fallback_player,source_backed_role_evidence_only,manual_source_backed,P0/P1 carry-forward from v1 targeted sourcing list.
1274,usa-christian-pulisic,Christian Pulisic,USA,MID,7,0.335,32.8,unclear_high_price,low,P0,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|high_price_uncertainty_fallback_applied|strong_club_context_missing_national_team_usage|host_country_important_player|high_impact_watchlist_player|high_price_start_probability_below_0.45|high_price_uncertainty_fallback_player,source_backed_usage_found,official_federation,P0/P1 carry-forward from v1 targeted sourcing list.
1485,mexico-santiago-gimenez,Santiago Giménez,Mexico,FWD,6.8,0.195,24.5,unclear,low,P1,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|strong_club_context_missing_national_team_usage|host_country_important_player|high_impact_watchlist_player,existing_repo_evidence_used,existing_repo_data,P0/P1 carry-forward from v1 targeted sourcing list.
531,germany-deniz-undav,Deniz Undav,Germany,FWD,6.6,0.215,25.6,unclear,low,P1,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|strong_club_context_missing_national_team_usage|high_impact_watchlist_player,source_backed_usage_found,manual_source_backed,Named final-pass priority player reviewed in v2.
1327,thin-2-emiliano-buendia,Emiliano Buendía,Argentina,MID,6.5,,,blocked,blocked,P1,earlier_high_risk_example|high_price_low_role_confidence|high_price_missing_national_team_usage,missing_source_gap,official_federation_or_confederation_match_report_needed,P0/P1 carry-forward from v1 targeted sourcing list.
